,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
22,1,,,,,,6.0:20,Predictive Quality,<150,,>500,Support Vector Machine,no,yes,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,0.00000,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.7044715447154472,0.32514071294559105,1.0567073170731707,,8.453658536585365,0.42268292682926834,0.5283536585365853,0.2726986624704957,0.12076655052264808,0.32514071294559105,0.9392953929539295,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,Noise in dataset_AI:_1
23,1,,,,,,6.0:20,Predictive Quality,<600,,1.0:6000,XGBoost,yes,yes,4.0:10,yes,"[continuous, discrete, nominal]",,,Tabular Data,<1000,,,Offline,Binary Classification,Part Failure,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.50000,0.00000,,,,,,0.7044715447154472,0.32514071294559105,4.226829268292683,,8.453658536585365,0.9392953929539295,0.40255516840882694,0.2726986624704957,0.12076655052264808,0.32514071294559105,0.36755037115588546,,,0.20127758420441347,1.4089430894308943,,,0.07351007423117709,0.32514071294559105,0.5283536585365853,Training Technique_AI:_1
24,1,,,,,,6.0:20,Predictive Quality,<600,,1.0:7000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,<1000,,,Offline,Binary Classification,Part Failure,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.50000,0.00000,,,,,,0.7044715447154472,0.32514071294559105,4.226829268292683,,8.453658536585365,0.49727403156384503,0.40255516840882694,0.2726986624704957,0.12076655052264808,0.09289734655588314,0.26417682926829267,,,0.20127758420441347,1.4089430894308943,,,0.07351007423117709,0.32514071294559105,0.5283536585365853,ML task_AI:_1
25,1,,medium,,,,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.7044715447154472,,,,,0.40255516840882694,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
26,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,0.00000,0.50000,0.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,,8.453658536585365,,,,,,,,,,,,,,,,,
27,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,,8.453658536585365,,,,,,,,,,,,,,,,,
28,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,10.0:100,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,,1.2076655052264809,,,,,,,,,,,,,,,,,
29,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,>200,10.0:100,,,,,,,,,,,,,,,,,0.00000,0.50000,0.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,8.453658536585365,1.2076655052264809,,,,,,,,,,,,,,,,,
30,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,yes,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,1.0567073170731707,1.2076655052264809,,,,,0.33814634146341466,0.32514071294559105,,,,,,,,,,,
31,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,no,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,1.0567073170731707,1.2076655052264809,,,,,0.33814634146341466,0.09289734655588314,,,,,,,,,,,
