,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
21,,,,,,yes,Predictive Quality,<150,,8,1.0:500,Support Vector Machine,no,yes,,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.08025502732668537,0.16977025011414212,0.5517533128709619,,0.4414026502967695,4.414026502967695,0.22070132514838475,0.2758766564354809,0.14238795170863533,,0.06305752147096708,0.1765610601187078,0.49044738921863273,,,0.10509586911827845,0.06790810004565685,0.10765918299921208,,0.0408706157682194,0.16977025011414212,0.2758766564354809,Input Data_AI:_1
22,,,,,,yes,Predictive Quality,<150,,8,>500,Support Vector Machine,no,yes,,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.08025502732668537,0.16977025011414212,0.5517533128709619,,0.4414026502967695,4.414026502967695,0.22070132514838475,0.2758766564354809,0.14238795170863533,,0.06305752147096708,0.1765610601187078,0.49044738921863273,,,0.10509586911827845,0.06790810004565685,0.10765918299921208,,0.0408706157682194,0.16977025011414212,0.2758766564354809,#Instances training dataset_AI:_1
23,,,,,,yes,Predictive Quality,<600,,8,1.0:6000,XGBoost,yes,yes,,4.0:10,yes,"[continuous, discrete, nominal]",,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.0727394264035808,0.15387186354603632,2.000334226098472,,0.40006684521969443,4.000668452196944,0.44451871691077155,0.1905080215331878,0.1290538210386111,,0.05715240645995634,0.16002673808787776,0.17394210661725842,,,0.0952540107665939,0.6667780753661573,,,0.03704322640923096,0.15387186354603632,0.250041778262309,Ratio training to test dataset_AI:_1
24,,,,,,yes,Predictive Quality,<600,,8,1.0:7000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.07221992656186554,0.15277292157317712,1.9860479804513023,,0.3972095960902605,3.9720959609026045,0.23365270358250617,0.18914742670964785,0.12813212777105176,,0.05674422801289435,0.04364940616376489,0.12412799877820639,,,0.09457371335482392,0.6620159934837674,,,0.03677866630465375,0.15277292157317712,0.24825599755641278,Noise in dataset_AI:_1
25,,low,,,,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,2.2105263157894735,,,,,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,Training Technique_AI:_1
26,,"[medium, high]",,,,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.2555660013433986,,,,,0.10952828629002798,,2.3000940120905873,,,,,,,,,,,,,,,,,,,ML task_AI:_1
27,,"[medium, high]",,,,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,0.2555660013433986,,,,,0.10952828629002798,,2.3000940120905873,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
28,,"[medium, high]",,,,yes,Predictive Maintenance,,10.0:100,,,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,2.2460532701509694,,,,0.36753598966106776,0.9625942586361298,,2.8877827759083896,,,,,,,,,,,,,,,,,,,
29,,"[medium, high]",,,,no,Predictive Maintenance,>200,10.0:100,,,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.3006940148952928,,,,0.07314178740696312,0.12886886352655405,2.7062461340576354,0.3866065905796621,,,,,,,,,,,,,,,,,,,
30,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,>10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,2.4935194825581686,,,,0.6065317660276627,1.0686512068106437,2.80520941787794,3.2059536204319308,,,,,,,0.8976670137209407,0.8976670137209407,,,,,,,,,,,
