,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
14,high,high,,,,,Predictive Quality,,,,1.0:86400,,no,yes,,1.0:10,,[continuous],,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.5680044023255764,1.2622320051679474,,,,,0.4369264633273664,,,,0.7573392031007684,,0.7100055029069704,0.366454453113275,,2.2720176093023055,,0.3550027514534852,,2.2720176093023055,,,,,,,,Supports parallel evaluations_AI:_1
15,,,,,,yes,Predictive Quality,<150,,8,1.0:100,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.3781666053013911,0.799967818906789,2.599895411447064,,2.0799163291576517,3.4665272152627518,1.2234801936221478,0.9904363472179293,0.6709407513411778,,0.29713090416537874,0.22856223397336828,0.649973852861766,,,0.49521817360896464,0.31998712756271563,0.5072966656482077,,0.1925848452923751,0.799967818906789,1.299947705723532,Usage of one-hot encoding for cat. features_AI:_1
16,,,,,,yes,Predictive Quality,<150,,8,100.0:4000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.26861729282343383,0.5682288886649561,1.8467438881611076,,1.477395110528886,7.38697555264443,0.869055947369933,0.7035214812042314,0.47657906791254384,,0.2110564443612694,0.16235111104713032,0.4616859720402769,,,0.3517607406021157,0.22729155546598248,0.3603402708607039,,0.13679584356748942,0.5682288886649561,0.9233719440805538,Dimensionality of HPs_AI:_1
17,,,,,,no,Predictive Quality,<150,,1,1.0:100,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.6172480649462875,0.8783914770389476,2.8547723003765797,,0.4152396073275025,3.8063630671687725,1.3434222590007434,1.0875323049053638,0.7367154323552463,,0.3262596914716091,0.2509689934396993,0.7136930750941449,,,0.5437661524526819,0.3513565908155791,0.5570287415368936,,0.21146461484270956,0.8783914770389476,1.4273861501882898,Conditional HP space_AI:_1
18,,,,,,no,Predictive Quality,<150,,1,100.0:4000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.4263329891542432,0.6067046384118077,1.9717900748383748,,0.2868058290674,7.887160299353499,0.9279012116886469,0.7511581237479523,0.5088490515711934,,0.22534743712438568,0.1733441824033736,0.4929475187095937,,,0.37557906187397616,0.24268185536472306,0.3847395267977317,,0.14605852406210182,0.6067046384118077,0.9858950374191874,HP datatypes_AI:_1
19,,,,,,yes,Predictive Quality,<150,,8,1.0:100,Decision Tree,yes,yes,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.24068164553531152,0.5091342501708513,1.6546863130552667,,1.3237490504442135,2.2062484174070223,6.618745252221067,0.6303566906877207,0.4270158227239398,,0.5294996201776854,0.14546692862024324,0.4136715782638167,,,0.31517834534386036,0.20365370006834055,0.32286562205956426,,0.12256935652261233,0.5091342501708513,0.8273431565276333,Availability of a warm-start HP configuration_AI:_1
20,,,,,,no,Predictive Quality,<150,,1,1.0:100,Decision Tree,yes,yes,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.3793240788280041,0.5398073429475443,1.7543738645795188,,0.2551816530297482,2.3391651527726918,7.017495458318075,0.6683329007921976,0.4527416424721339,,0.5613996366654461,0.15423066941358407,0.4385934661448797,,,0.3341664503960988,0.21592293717901773,0.34231685162527203,,0.12995361959848287,0.5398073429475443,0.8771869322897594,Obtainability of gradients_AI:_1
21,,,,,,yes,Predictive Quality,<150,,8,1.0:500,Support Vector Machine,no,yes,,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.1750624768273575,0.3703244702117178,1.2035545281880828,,0.9628436225504664,9.628436225504663,0.4814218112752332,0.6017772640940414,0.31059471695176327,,0.13754908893578088,0.38513744902018654,1.0698262472782958,,,0.22924848155963481,0.14812978808468713,0.23483990793913814,,0.08915218727319131,0.3703244702117178,0.6017772640940414,Input Data_AI:_1
22,,,,,,yes,Predictive Quality,<150,,8,>500,Support Vector Machine,no,yes,,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.1750624768273575,0.3703244702117178,1.2035545281880828,,0.9628436225504664,9.628436225504663,0.4814218112752332,0.6017772640940414,0.31059471695176327,,0.13754908893578088,0.38513744902018654,1.0698262472782958,,,0.22924848155963481,0.14812978808468713,0.23483990793913814,,0.08915218727319131,0.3703244702117178,0.6017772640940414,#Instances training dataset_AI:_1
23,,,,,,yes,Predictive Quality,<600,,8,1.0:6000,XGBoost,yes,yes,,4.0:10,yes,"[continuous, discrete, nominal]",,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.129517856147283,0.27398008031156024,3.5617410440502826,,0.7123482088100566,7.123482088100565,0.7914980097889517,0.3392134327666936,0.22978974477743758,,0.10176402983000807,0.2849392835240226,0.3097166125261115,,,0.1696067163833468,1.1872470146834275,,,0.06595816748241264,0.27398008031156024,0.4452176305062853,Ratio training to test dataset_AI:_1
