,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
52,,,,,,,Process Parameter Prediction,,,1,1.0:2000,Random Forest,,,no categorical features,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,,,,,,,0.451566659691755,,,0.0738927261313781,4.064099937225795,0.23906470218975268,,,0.5805857053179708,0.05976617554743817,0.04466043887061314,0.451566659691755,,,0.0967642842196618,0.4064099937225796,0.0991243887128243,,,,0.03763055497431292,0.2257833298458775,0.36946363065689053,
53,,,,,,,Process Parameter Prediction,,,1,2000.0:5000,Random Forest,,,no categorical features,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,,,Offline,Regression,Time Series Prediction,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,0.451566659691755,,,0.0738927261313781,4.064099937225795,0.23906470218975268,,,0.5805857053179708,0.05976617554743817,0.04466043887061314,0.451566659691755,,,0.0967642842196618,0.4064099937225796,0.0991243887128243,,,,0.03763055497431292,0.2257833298458775,0.36946363065689053,
54,,,,,,,Process Parameter Prediction,,,1,5000.0:10000,Random Forest,,,no categorical features,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,,,,,,,0.451566659691755,,,0.0738927261313781,4.064099937225795,0.23906470218975268,,,0.5805857053179708,0.05976617554743817,0.04466043887061314,0.451566659691755,,,0.0967642842196618,0.4064099937225796,0.0991243887128243,,,,0.03763055497431292,0.2257833298458775,0.36946363065689053,
55,,,,,,,Process Parameter Prediction,,,1,>10000,Random Forest,,,no categorical features,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,,,Offline,Regression,Time Series Prediction,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,,0.451566659691755,,,0.0738927261313781,4.064099937225795,0.23906470218975268,,,0.5805857053179708,0.05976617554743817,0.04466043887061314,0.451566659691755,,,0.0967642842196618,0.4064099937225796,0.0991243887128243,,,,0.03763055497431292,0.2257833298458775,0.36946363065689053,
56,,,,,,,,<2,36000,1,1.0:72000,Latent Dirichlet Allocation (HPOlib),,,yes,1.0:3,no,[continuous],,,Text Data,,,,,,Offline,Text,Text,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.9685482345681556,1.2913976460908743,0.07043987160495678,3.8741929382726226,0.9685482345681556,,,0.1490074207027932,0.16844317122924446,0.042573548772226626,0.12106852932101946,,,0.9685482345681556,,,,,,0.035872156835857615,0.9685482345681556,1.2913976460908743,
57,,,,,,,,2.0:10,36000,1,72000.0:360000,Latent Dirichlet Allocation (HPOlib),,,yes,1.0:3,no,[continuous],,,Text Data,,,,,,Offline,Text,Text,,,,,,,0.50000,,0.50000,,,,,,,,,,,,,,,,,3.0096783778073077,1.0032261259357693,0.05472142505104196,3.0096783778073077,0.7524195944518269,,,0.11575686068489646,0.130855581643796,0.03307338876711328,0.09405244930647837,,,0.7524195944518269,,,,,,0.0278673923871047,0.7524195944518269,1.0032261259357693,
58,,,,,,,,>10,36000,1,>360000,Latent Dirichlet Allocation (HPOlib),,,yes,1.0:3,no,[continuous],,,Text Data,,,,,,Offline,Text,Text,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,,,3.0096783778073077,1.0032261259357693,0.05472142505104196,3.0096783778073077,0.7524195944518269,,,0.11575686068489646,0.130855581643796,0.03307338876711328,0.09405244930647837,,,0.7524195944518269,,,,,,0.0278673923871047,0.7524195944518269,1.0032261259357693,
59,,,,,,,,<2,60,1,1.0:120,Logistic Regression,,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,,1.0184199211065694,0.6789466140710463,0.07406690335320505,4.073679684426278,0.5819542406323254,,,0.15667998786254916,0.05990705418273938,0.04476571081787119,0.0969923734387209,,,0.07686188083823166,0.06267199514501966,0.17711650801853382,,,,0.03771925633728035,0.06267199514501966,0.07274428007904067,
60,,,,,,,,2.0:50,60,1,120.0:3000,Logistic Regression,,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,1.3371191534757965,0.6685595767378982,0.07293377200777072,4.01135746042739,0.5730510657753414,,,0.1542829792472073,0.05899055088863808,0.0440808512134878,0.0955085109625569,,,0.07568598981938471,0.061713191698882924,0.1744068461055387,,,,0.037142198707661014,0.061713191698882924,0.07163138322191767,
61,,,,,,,,>50,60,1,>3000,Logistic Regression,,,yes,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,,,1.3371191534757965,0.6685595767378982,0.07293377200777072,4.01135746042739,0.5730510657753414,,,0.1542829792472073,0.05899055088863808,0.0440808512134878,0.0955085109625569,,,0.07568598981938471,0.061713191698882924,0.1744068461055387,,,,0.037142198707661014,0.061713191698882924,0.07163138322191767,
