Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;
;;0,0370;27;0,0323;31;0,1429;7;0,1429;7;0,1429;7;0,0152;66;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0086;116;;0,0085;117;0,0323;31;0,0270;37;0,0270;37;0,0082;122;0,0086;116;0,0078;128;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0526;19;0,0588;17;0,0500;20;0,0086;116;0,0086;116;0,0105;95;;12,47;7,61;2,58;8,13;6,31;1,78;24,50;17,95;22,34;2,23;9,34;3,19;3,83;10,98;5,35;4,23;19,22;2,94;;;;;;
113;;;;;;;;;;;;yes;0,01515;;;;;<200;0,01449;1800;0,02857;17;0,01190;1.0:360000;0,00862;;Convolutional Neural Net;0,00855;;;;;;;>10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;113;;;;;;;;1,00000;;;;;;;;;;;;;Loshchilov2016;;;
114;;;;;;;;;;;;yes;0,01515;;;;;200.0:1000;0,01449;1800;0,02857;17;0,01190;360000.0:1800000;0,00862;;Convolutional Neural Net;0,00855;;;;;;;>10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;114;;;;1,00000;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;<200;0,01449;;;;;;;;Synthetic Function;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;;;Offline;0,00862;;;Synthetic Function;0,01053;115;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;Springenberg2016;;;
116;;;;;;;;;;;;;;;;;;<200;0,01449;;;;;;;;Synthetic Function;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;;;Offline;0,00862;;;Synthetic Function;0,01053;116;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Logistic Regression;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;117;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[discrete];0,00781;;;;;;Text Data;0,00952;;;;;;;;;;;Offline;0,00862;Text;0,00862;;;118;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;;;119;;;;;;;0,25000;;0,25000;;0,25000;0,25000;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[discrete];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;;;120;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[discrete];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;;;121;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;
122;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Random Forest;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Binary Classification;0,00862;Classification;0,01053;122;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;
123;;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;;;Random Forest;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Binary Classification;0,00862;Classification;0,01053;123;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;
124;;;;;;;;;;;;yes;0,01515;;;;;;;;;8;0,01190;1.0:100000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;124;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;
125;;;;;;;;;;;;yes;0,01515;;;;;;;;;8;0,01190;100000.0:250000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;125;;;;;;;;;;;1,00000;;;;;;;;;;;;;
126;;;;;;;;;;;;yes;0,01515;;;;;;;;;8;0,01190;>250000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;126;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;only the ones that are parallelizable!;;;;
127;;;;;;;;;;;;no;0,01515;;;;;;;;;1;0,01190;1.0:150000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;127;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;Li2018;;;
128;;;;;;;;;;;;no;0,01515;;;;;;;;;1;0,01190;>150000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;128;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;;;;
129;;;;;;;;;;;;no;0,01515;;;;;;;;;1;0,01190;1.0:30000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;129;;;;;0,25000;;;;;;;;0,25000;0,25000;0,25000;;;;;;;;;
130;;;;;;;;;;;;no;0,01515;;;;;;;;;1;0,01190;30000.0:90000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;130;;;;;0,20000;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;
131;;;;;;;;;;;;no;0,01515;;;;;;;;;1;0,01190;>90000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;131;;;;;0,25000;;;;;;;;0,25000;;0,25000;;0,25000;;;;;;;
132;;;;;;;;;;;;yes;0,01515;;;;;;;;;25;0,01190;1.0:60000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;132;;;;;1,00000;;;;;;;;;;;;;;;;;;;
133;;;;;;;;;;;;yes;0,01515;;;;;;;;;25;0,01190;60000.0:90000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;133;;;;;;;;;;;;;;;1,00000;;;;;;;;;
134;;;;;;;;;;;;yes;0,01515;;;;;;;;;25;0,01190;>90000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;134;;;;;;;;;;;;;0,33333;;0,33333;;0,33333;;;;;;;
135;;;;;;;;;;;;yes;0,01515;;;;;;;;;25;0,01190;1.0:150000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;135;;;;;0,50000;;;;;;;;;;0,50000;;;;;;;;;
136;;;;;;;;;;;;yes;0,01515;;;;;;;;;25;0,01190;>150000;0,00862;;Convolutional Neural Net;0,00855;;;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;136;;;;;0,50000;;;;;;;;;;0,50000;;;;;;;;;
137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,03226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;1,00000;;;;Hutter2019;;;
138;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;0,00862;;;;no;0,03226;;;;;;;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;;;;;;;;;138;;;;;;;;;1,00000;;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;0,03226;;;;;>10;0,00820;yes;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;;;;;;;;;;>86400;0,00862;;;;yes;0,03226;;;;;;;;;[continuous];0,00781;;;;;;;;;;;;;;;;;;;;;;;;140;;;;1,00000;;;;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;;;;;;.0;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;1,00000;;;;;;;;;;;;;;;;;;;;KEL;;;
142;;;;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;0,16667;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;speed very dependent on ML model training time, fabolas equally fast as bohb and hb;
143;;;;;;;;;;;;;;;;;;;;;;;;7200.0:172800;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;0,07143;0,07143;;;;0,07143;0,07143;0,07143;;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;;;;;ML model training time for 1 trial and max trials should also be included.;
144;;;;;;;;;;;;;;;;;;;;;;;;1.0:172800;0,00862;;;;yes;0,03226;;;;;;;;;;;;;;;;;;>100000;0,01136;;;;;;;;;;;;;;;144;;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;has to include a time limit! Otherwise multi-fidelity techniques do not make sense;
145;;;;;;yes;0,14286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;all agree;
146;;;;;;;;yes;0,14286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;0,11111;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;;0,11111;;;0,11111;;;;;;;
147;;high;0,03704;;;;;;;;;;;;;;;;;;;;;1.0:172800;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;0,20000;;;;0,20000;;0,20000;;;;;;;0,20000;;;0,20000;;;;;;Lucas Colzani also mentioned PBT;
148;;;;;;;;;;;;yes;0,01515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;0,14286;0,14286;0,14286;0,14286;;;;;;;;0,14286;0,14286;0,14286;;;;;;;;;
149;;high;0,03704;;;;;;;;;yes;0,01515;;;;;;;;;;;>7200;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;0,33333;0,33333;;;;;;;;;0,33333;;;;;;;;;Vladimir Samsonov added HB;
150;;high;0,03704;;;;;;;;;yes;0,01515;;;;;;;;;;;1.0:172800;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;0,20000;0,20000;;;;;;;;;;;0,20000;0,20000;;;0,20000;;;;;;;
151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:3;0,00820;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;0,31481;0,31481;0,03704;;;0,03704;0,03704;0,14815;;;;0,03704;0,03704;;;0,03704;;;;;;;
152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0:10;0,00820;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;0,26984;0,04762;0,04762;0,04762;;0,10317;0,10317;0,04762;;;;0,05556;0,22222;;;0,05556;;;;;;;
153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;> 10;0,00820;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;0,11905;;0,04762;0,07937;;0,24603;0,24603;;;;;0,04762;0,16667;;;0,04762;;;;;;;
154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[continuous, discrete, ordinal, nominal];0,00781;;;;;;;;;;;;;;;;;;;;;;;;154;;0,17778;0,11111;0,06667;;;0,06667;;;;;;;0,17778;;;0,40000;;;;;;;
155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;;;;;;155;0,16667;;;;;;;;;;;;0,16667;0,16667;0,16667;0,16667;0,16667;;;;;;online models should be trained fast -> same as fast rule 142;
156;;medium;;medium;;;;;;;;no;;;;;;;;;;;;1.0:86400;;;Convolutional Neural Net;;no;;;;;;;;;;;;;;;;;Image Data;;>50000;;;;;;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01053;156;0,50000;0,25000;0,25000;;;;;;;;;;;;;;;;;;KEL new rules;;Andres Posada;
157;;high;;high;;;;;;Linux;;yes;;;;;;;;;;;;>1296000;;;Convolutional Neural Net;;no;;;;;;;;;;;;;;;;;Image Data;;>100000;;;;;;;;yes;0,05000;;;Object Detection;0,00862;Object Detection;0,01053;157;0,20000;;0,40000;0,40000;;;;;;;;;;;;;;;;;;;;
158;;high;;low;;;;;;;;yes;;;;;;;;;;;;>1296000;;;Convolutional Neural Net;;no;;;;;;;;;;;;;;;;;Image Data;;;;;;;;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01053;158;0,20000;;;0,10000;0,10000;;;;;;;;;;0,40000;;0,20000;;;;;;;
159;;high;;medium;;no;;yes;;Windows;;no;;;Process Parameter Prediction;;;;;>200;;;;>172800;;;LSTM;;no;;;;no;;;;;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;>1000000;;1.0:4;;;;;;yes;0,05000;offline;;Regression;0,00862;Time Series Prediction;0,01053;159;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;Maik Frye;
160;;medium;;medium;;no;;yes;;Windows;;no;;;Predictive Quality;;;;;;;;;7200.0:172800;;;Random Forest;;yes;;yes;;no;;;;;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;1000.0:10000;;1.0:4;;imbalanced;;0.1;;no;0,05000;offline;;Binary Classification;0,00862;Time Series Prediction;0,01053;160;0,20000;;;;;;0,20000;;0,20000;;;;;0,20000;;;0,20000;;;;;;;
161;;medium;;medium;;no;;yes;;Windows;;no;;;Predictive Maintenance;;;;;;;;;>172800;;;Random Forest;;no;;yes;;no;;;;;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;>1000000;;1.0:4;;;;;;yes;0,05000;offline;;Multi-class Classification;0,00862;;;161;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;
162;;high;;medium;;no;;yes;;linux;;yes;;;Predictive Quality;;;;;;;;;7200.0:172800;;;XGBoost;;no;;;;no;;;;;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;>1000000;;>4;;imbalanced;;0.01;;yes;0,05000;offline;;Multi-class Classification;0,00862;;;162;0,25000;;;;;;;;0,25000;;;;;0,25000;;;0,25000;;;;;;;
163;;high;;medium;;no;;no;;Windows;;no;;;Process Design;;;;;>200;;;;7200.0:172800;;;Random Forest;;yes;;yes;;;;;;;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;1000.0:10000;;1.0:4;;imbalanced;;0.1;;yes;0,05000;offline;;Binary Classification;0,00862;;;163;0,33333;0,33333;;;;;;;0,33333;;;;;;;;;;;;;;;
164;;high;;high;;no;;yes;;Linux;;yes;;;Process Parameter Prediction;;;;;>200;;;;>172800;;;Gradient Boosting Machine;;no;;;;;;;;yes;;[continuous, discrete, ordinal, nominal];;;;;;;Tabular Data ;;>1000000;;1.0:4;;;;;;yes;0,05000;offline;;Regression;0,00862;Time Series Prediction;0,01053;164;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;>100000;;1.0:4;;;;;;yes;0,05000;offline;;Regression;0,00862;Time Series Prediction;0,01053;165;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;;
166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;1,00000;;;;;;;;;;;;;;;;;;;;;;166;;;;0,14286;;;0,14286;0,14286;0,14286;;0,14286;;;0,14286;;;0,14286;;;;;;Maximilian Mutz;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Knock-out Rules;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;high;23;high;9;;;;;;;yes;37;;Predictive Maintenance;21;;high;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;low;1;medium;11;;;;;;;no;29;;Predictive Quality;26;;low;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;medium:high;0;;;;;;;;;;Process Parameter Prediction;;;<2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;low;2;;;;;;;;;;;;;<5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;<200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;2:10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;2:20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;2:50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;5:50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;10:100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;10:200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;20:200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;30:100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;40:100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;50:100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;50:200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;100:500;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;200:1000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;>10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;>50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;>100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
