Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;
;;0,0370;27;0,0323;31;0,1429;7;0,1429;7;0,1429;7;0,0152;66;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0086;116;;0,0085;117;0,0323;31;0,0270;37;0,0270;37;0,0082;122;0,0086;116;0,0078;128;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0526;19;0,0588;17;0,0500;20;0,0086;116;0,0086;116;0,0105;95;;12,47;7,61;2,58;8,13;6,31;1,78;24,50;17,95;22,34;2,23;9,34;3,19;3,83;10,98;5,35;4,23;19,22;2,94;;;;;;
40;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;10000.0:70000;0,00862;;Support Vector Machine;;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016954;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;40;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
41;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1.0:50;0,00862;;Multilayer Perceptron;;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;41;1,00000;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;50.0:2000;0,00862;;Multilayer Perceptron;;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;42;;0,25000;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;;;
43;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1.0:100;0,00862;;Support Vector Machine;;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;43;1,00000;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;100.0:10000;0,00862;;Support Vector Machine;;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;44;;;;;;;;1,00000;;;;;;;;;;;;;;;;
45;;high;0,03704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;0,25000;0,25000;0,25000;;;;;;;;0,25000;;;;Flo Generic;;;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>10;0,00820;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;0,25000;0,25000;;;;;;0,25000;;;0,25000;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,00862;[continuous, discrete, ordinal, nominal];0,00781;;;;;;;;;;;;;;;;;;;;;;;;47;;0,16667;0,16667;;;;0,16667;0,16667;;;;;;0,16667;;;0,16667;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;0,33333;;;;;;;;;;;;0,33333;;;0,33333;;;;;;;
49;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;1.0:200;0,00862;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;49;1,00000;;;;;;;;;;;;;;;;;;;;Flo Experiment;;;
