;;User specific;;;;;;;;;;;;;Production;;;Time Resources;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;;;;;;;;
Rule ID;thetas;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: Number of workers/kernels for parallel computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG;SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;FABOLAS;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0313;32;0,0769;13;0,0769;13;0,1429;7;0,0082;122;;0,0175;57;;0,0145;69;0,0286;35;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,1667;6;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0108;93;;25,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
50;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;200.0:2000;0,00629;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;50;0,00000;0,33333;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
51;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;>2000;0,00629;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;51;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
52;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;1.0:2000;0,00629;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, nominal];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;52;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
53;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;2000.0:5000;0,00629;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, nominal];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;53;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
54;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;5000.0:10000;0,00629;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, nominal];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;54;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
55;1;;;;;;;;;;;1;0,00820;;Process Parameter Prediction;0,01754;;;;;;>10000;0,00629;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, nominal];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;55;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
56;1;;;;;;;;;;;1;0,00820;;;;;<2;0,01449;36000;0,02857;1.0:72000;0,00629;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Text Data;0,00952;;;;;;;Offline;0,00826;Text;0,00862;Text;0,01075;56;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;Eggensperger2015;;;;;;;;
57;1;;;;;;;;;;;1;0,00820;;;;;2.0:10;0,01449;36000;0,02857;72000.0:360000;0,00629;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Text Data;0,00952;;;;;;;Offline;0,00826;Text;0,00862;Text;0,01075;57;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
58;1;;;;;;;;;;;1;0,00820;;;;;>10;0,01449;36000;0,02857;>360000;0,00629;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Text Data;0,00952;;;;;;;Offline;0,00826;Text;0,00862;Text;0,01075;58;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
59;1;;;;;;;;;;;1;0,00820;;;;;<2;0,01449;60;0,02857;1.0:120;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;59;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
60;1;;;;;;;;;;;1;0,00820;;;;;2.0:50;0,01449;60;0,02857;120.0:3000;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;60;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
61;1;;;;;;;;;;;1;0,00820;;;;;>50;0,01449;60;0,02857;>3000;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;61;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
62;1;;;;;;;;;;;1;0,00820;;;;;<10;0,01449;60;0,02857;1.0:600;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;62;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
63;1;;;;;;;;;;;1;0,00820;;;;;10.0:100;0,01449;60;0,02857;600.0:6000;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;63;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
64;1;;;;;;;;;;;1;0,00820;;;;;>100;0,01449;60;0,02857;>6000;0,00629;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;64;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
65;1;;;;;;;;;;;2;0,00820;;;;;<2;0,01449;720;0,02857;1.0:2880;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;65;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
66;1;;;;;;;;;;;2;0,00820;;;;;2.0:20;0,01449;720;0,02857;2880.0:28800;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;66;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
67;1;;;;;;;;;;;2;0,00820;;;;;20.0:200;0,01449;720;0,02857;28800.0:288000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;67;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
68;1;;;;;;;;;;;2;0,00820;;;;;<10;0,01449;720;0,02857;1.0:14400;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;68;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
69;1;;;;;;;;;;;2;0,00820;;;;;10.0:100;0,01449;720;0,02857;14400.0:144000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;69;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
70;1;;;;;;;;;;;2;0,00820;;;;;100.0:500;0,01449;720;0,02857;14400.0:720000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;70;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
71;1;;;;;;;;;;;2;0,00820;;;;;<2;0,01449;720;0,02857;1.0:2880;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;71;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
72;1;;;;;;;;;;;2;0,00820;;;;;2.0:50;0,01449;720;0,02857;2880.0:72000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;72;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
73;1;;;;;;;;;;;2;0,00820;;;;;50.0:200;0,01449;720;0,02857;72000.0:288000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;73;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
74;1;;;;;;;;;;;2;0,00820;;;;;<5;0,01449;720;0,02857;1.0:7200;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;74;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
75;1;;;;;;;;;;;2;0,00820;;;;;5.0:50;0,01449;720;0,02857;7200.0:72000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;75;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
76;1;;;;;;;;;;;2;0,00820;;;;;50.0:500;0,01449;720;0,02857;72000.0:720000;0,00629;;Multilayer Perceptron;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;76;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
77;1;;;;;;;;;;;;;;;;;<5;0,01449;;;;;;Deep Neural Net;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;77;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
78;1;;;;;;;;;;;;;;;;;2.0:50;0,01449;;;;;;Deep Neural Net;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;78;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
79;1;;;;;;;;;;;;;;;;;50.0:200;0,01449;;;;;;Deep Neural Net;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;79;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
80;1;;;;;;;;;;;;;;;;;<10;0,01449;;;;;;Deep Neural Net;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;80;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
81;1;;;;;;;;;;;;;;;;;10.0:200;0,01449;;;;;;Deep Neural Net;0,00855;;;;;>10;0,00775;yes;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;81;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
82;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:10;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;82;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,33333;0,33333;0,00000;;;Falkner2018;;;;;;;;
83;1;;;;;;;;;;;1;0,00820;;;;;;;;;10.0:40;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;83;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;;;;;;;;;;;
84;1;;;;;;;;;;;1;0,00820;;;;;;;;;40.0:100;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;84;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,50000;0,00000;0,00000;;;;;;;;;;;
85;1;;;;;;;;;;;1;0,00820;;;;;;;;;100.0:400;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;85;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,33333;0,33333;0,00000;;;;;;;;;;;
86;1;;;;;;;;;;;1;0,00820;;;;;;;;;400.0:50000;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;86;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,00000;0,00000;0,00000;0,25000;0,00000;0,25000;0,25000;0,00000;;;;;;;;;;;
87;1;;;;;;;;;;;1;0,00820;;;;;;;;;50000.0:500000;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;87;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,00000;0,00000;0,00000;0,20000;0,00000;0,20000;0,20000;0,00000;;;;;;;;;;;
88;1;;;;;;;;;;;1;0,00820;;;;;;;;;>500000;0,00629;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;88;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
89;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:4000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;89;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,00000;0,33333;0,33333;;;;;;;;;;;
90;1;;;;;;;;;;;1;0,00820;;;;;;;;;4000.0:100000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;90;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;;;;;;;;;
91;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:10000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;91;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,00000;0,33333;0,33333;;;;;;;;;;;
92;1;;;;;;;;;;;1;0,00820;;;;;;;;;10000.0:100000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;92;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;;;;;;;;;
93;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:100;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;93;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,00000;0,33333;0,33333;;;;;;;;;;;
94;1;;;;;;;;;;;1;0,00820;;;;;;;;;100.0:2000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;94;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;;;;;;;;;
95;1;;;;;;;;;;;1;0,00820;;;;;;;;;2000.0:20000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;95;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;;;;;;;;;;;
96;1;;;;;;;;;;;1;0,00820;;;;;;;;;20000.0:40000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;96;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;;;;;;;;;;;
97;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:4000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;97;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,50000;0,00000;;;;;;;;;;;
