Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Time Resources;1;Number of maximum function evaluations/ trials budget;1;Wall Clock Time [s];1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Obtainability of gradients;1;;Input Data;1;Dataset (name);1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML Task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES (Pop-based);PBT;Population based;Gradient based;SMAC;TPE;BO-Gaussian Processes;BO-MTBO;BO-BOHAMIANN;BO - DNGO;SHA;HB-Hyperband;ASHA;BO-Fabolas;BOHB;HB-LCNet;Approximation based;;20;;
;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0625;16;0,0145;69;0,0175;57;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0093;108;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;4,96;0,80;4,63;3,33;4,63;1,63;22,71;16,63;20,50;2,08;9,05;3,05;2,16;7,61;4,16;3,25;15,36;2,29;2,13;;;;
57;;;;;;;;;;;;;;2:10;0,01449;;;36000;0,03125;1;0,01190;72000:360000;0,01000;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;yes;0,03030;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Text Data;0,01042;wikipedia articles;0,00926;;;;;;;;;;;Offline;0,00926;Text;0,00943;Text;0,01136;57;;;;;;;;0,50000;;0,50000;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;>10;0,01449;;;36000;0,03125;1;0,01190;>360000;0,01000;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;yes;0,03030;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Text Data;0,01042;wikipedia articles;0,00926;;;;;;;;;;;Offline;0,00926;Text;0,00943;Text;0,01136;58;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;all;;
59;;;;;;;;;;;;;;<2;0,01449;;;60;0,03125;1;0,01190;<120;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;59;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;2:50;0,01449;;;60;0,03125;1;0,01190;120:3000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;60;;;;;;;;;;1,00000;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;>50;0,01449;;;60;0,03125;1;0,01190;>3000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;61;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;all;;
62;;;;;;;;;;;;;;<10;0,01449;;;60;0,03125;1;0,01190;<600;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;62;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;10:100;0,01449;;;60;0,03125;1;0,01190;600:6000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;63;;;;;;;;;;1,00000;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;>100;0,01449;;;60;0,03125;1;0,01190;>6000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;64;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;all;;
65;;;;;;yes;0,01852;;;;;;;<2;0,01449;;;720;0,03125;2;0,01190;<2880;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;65;;;;;;;;1,00000;;;;;;;;;;;;;;;;
66;;;;;;yes;0,01852;;;;;;;2:20;0,01449;;;720;0,03125;2;0,01190;2880:28800;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;66;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
67;;;;;;yes;0,01852;;;;;;;20:200;0,01449;;;720;0,03125;2;0,01190;28800:288000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;67;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
68;;;;;;yes;0,01852;;;;;;;<10;0,01449;;;720;0,03125;2;0,01190;<14400;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;68;;;;;;;;1,00000;;;;;;;;;;;;;;;;
69;;;;;;yes;0,01852;;;;;;;10:100;0,01449;;;720;0,03125;2;0,01190;14400:144000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;69;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
70;;;;;;yes;0,01852;;;;;;;100:500;0,01449;;;720;0,03125;2;0,01190;14400:720000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;70;;;;;;;;1,00000;;;;;;;;;;;;;;;;
71;;;;;;yes;0,01852;;;;;;;<2;0,01449;;;720;0,03125;2;0,01190;<2880;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;71;;;;;;;;1,00000;;;;;;;;;;;;;;;;
72;;;;;;yes;0,01852;;;;;;;2:50;0,01449;;;720;0,03125;2;0,01190;2880:72000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;72;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
73;;;;;;yes;0,01852;;;;;;;50:200;0,01449;;;720;0,03125;2;0,01190;72000:288000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;73;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
74;;;;;;yes;0,01852;;;;;;;<5;0,01449;;;720;0,03125;2;0,01190;<7200;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;74;;;;;;;;1,00000;;;;;;;;;;;;;;;;
75;;;;;;yes;0,01852;;;;;;;5:50;0,01449;;;720;0,03125;2;0,01190;7200:72000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;75;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
76;;;;;;yes;0,01852;;;;;;;50:500;0,01449;;;720;0,03125;2;0,01190;72000:720000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;76;;;;;;;;1,00000;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;<5;0,01449;;;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;77;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;2:50;0,01449;;;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;78;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;50:200;0,01449;;;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;convex (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;79;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;<10;0,01449;;;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;80;;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;10:200;0,01449;;;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;mrbi (mnist-rot-back-image) (Larochelle2007);0,00926;1000:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;81;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;<10;0,01754;;;1;0,01190;<10;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;82;;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;Falkner2018;
83;;;;;;;;;;;;;;;;0,444444444;0,01754;;;1;0,01190;0,444444444;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;83;;;;;;;;;;;;;;;;;1,00000;;;;;;;
84;;;;;;;;;;;;;;;;40:100;0,01754;;;1;0,01190;40:100;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;84;;;;;;;;;;;;;;;0,50000;;0,50000;;;;;;;
85;;;;;;;;;;;;;;;;100:400;0,01754;;;1;0,01190;100:400;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;85;;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;
86;;;;;;;;;;;;;;;;400:50000;0,01754;;;1;0,01190;400:50000;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;86;;;;;;;;;;;0,25000;;;;0,25000;;0,25000;0,25000;;;;;;
87;;;;;;;;;;;;;;;;50000:500000;0,01754;;;1;0,01190;50000:500000;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;87;;;;;;;;;;0,20000;0,20000;;;;0,20000;;0,20000;0,20000;;;;;;
88;;;;;;;;;;;;;;;;>500000;0,01754;;;1;0,01190;>500000;0,01000;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;mnist surrogate (Klein2017);0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;88;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;all;;
89;;;;;;;;;;;;;;;;<4000;0,01754;;;1;0,01190;<4000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Adult (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;89;;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;
90;;;;;;;;;;;;;;;;4000:100000;0,01754;;;1;0,01190;4000:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Adult (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;90;;;;;;;;;;;;;;;;;;1,00000;;;;;;
91;;;;;;;;;;;;;;;;<10000;0,01754;;;1;0,01190;<10000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Higgs (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;91;;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;
92;;;;;;;;;;;;;;;;10000:100000;0,01754;;;1;0,01190;10000:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Higgs (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;92;;;;;;;;;;;;;;;;;;1,00000;;;;;;
93;;;;;;;;;;;;;;;;<100;0,01754;;;1;0,01190;<100;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Letter (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;93;;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;
94;;;;;;;;;;;;;;;;100:2000;0,01754;;;1;0,01190;100:2000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Letter (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;94;;;;;;;;;;;;;;;;;;1,00000;;;;;;
95;;;;;;;;;;;;;;;;2000:20000;0,01754;;;1;0,01190;2000:20000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Letter (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;95;;;;;;;;;;0,50000;;;;;;;;0,50000;;;;;;
96;;;;;;;;;;;;;;;;20000:40000;0,01754;;;1;0,01190;20000:40000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Letter (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;96;;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;;
97;;;;;;;;;;;;;;;;<4000;0,01754;;;1;0,01190;<4000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;97;;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;;
98;;;;;;;;;;;;;;;;4000:100000;0,01754;;;1;0,01190;4000:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;98;;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;;
99;;;;;;;;;;;;;;;;<1000;0,01754;;;1;0,01190;<1000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;Optdigits (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;99;;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;
100;;;;;;;;;;;;;;;;1000:10000;0,01754;;;1;0,01190;1000:10000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;Optdigits (OpenML);0,00926;1000:100000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;100;;;;;;;;;;;;;;;;;;1,00000;;;;;;
101;;;;;;;;;;;;;;;;<1000;0,01754;;;1;0,01190;<1000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Poker (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;101;;;;;;;;;;;;;;;0,33000;;;0,33000;0,33000;;;;;
102;;;;;;;;;;;;;;;;1000:100000;0,01754;;;1;0,01190;1000:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;Poker (OpenML);0,00926;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;102;;;;;;;;;;;;;;;;;;1,00000;;;;;;
103;;;;;;;;;;;;;;<100;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;103;;;;;;;;;;1,00000;;;;;;;;;;;;;Klein2019;
104;;;;;;;;;;;;;;<40;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;104;;;;;;;;;;1,00000;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;40:100;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;105;;;;;;;;;;;;1,00000;;;;;;;;;;;;
106;;;;;;;;;;;;;;<50;0,01449;;;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;106;;;;;;;;;;;;1,00000;;;;;;;;;;;;
107;;;;;;;;;;;;;;50:100;0,01449;;;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;107;;;;;;;;;;1,00000;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;<100;0,01449;;;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;16 OpenML classification datasets;0,00926;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;108;;;;;;;;;;;;1,00000;;;;;;;;;;;;
109;;;;;;;;;;;;;;<30;0,01449;;;;;;;;;;XGBoost;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;10 UCI Regression datasets;0,00926;;;;;;;;;no;0,10000;Offline;0,00926;Regression;0,00943;;;109;;;;;;;;;;;;1,00000;;;;;;;;;;;;
110;;;;;;;;;;;;;;30:100;0,01449;;;;;;;;;;XGBoost;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;10 UCI Regression datasets;0,00926;;;;;;;;;no;0,10000;Offline;0,00926;Regression;0,00943;;;110;;;;;;;;;;1,00000;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;<30;0,01449;;;;;;;;;;XGBoost;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;10 UCI Regression datasets;0,00926;;;;;;;;;yes;0,10000;Offline;0,00926;Regression;0,00943;;;111;;;;;;;;;;;;1,00000;;;;;;;;;;;;
112;;;;;;;;;;;;;;30:100;0,01449;;;;;;;;;;XGBoost;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;10 UCI Regression datasets;0,00926;;;;;;;;;yes;0,10000;Offline;0,00926;Regression;0,00943;;;112;;;;;;;;;;1,00000;;;;;;;;;;;;;;
113;;;;;;yes;0,01852;;;;;;;<200;0,01449;;;1800;0,03125;17;0,01190;<360000;0,01000;;Convolutional Neural Net;0,00926;;;;;;;>10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;113;;;;;;;;;1,00000;;;;;;;;;;;;;;Loshchilov2016;
