Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: access to parallel computing?;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0323;31;0,0769;13;0,0769;13;0,1429;7;0,0109;92;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0105;95;;24,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
43;;;;;;;;;;;;no;0,01087;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1.0:100;0,00629;;Support Vector Machine;;;;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;43;1,00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;no;0,01087;;Predictive Maintenance;0,01754;;;;;;1;0,01190;100.0:10000;0,00629;;Support Vector Machine;;;;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;;Regression;0,00862;Prediction of Remaining Useful Lifetime;;44;;;;;;;;1,00000;;;;;;;;;;;;;;;;;;;;;
45;;high;0,04167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;0,25000;0,25000;0,25000;;;;;;;;0,25000;;;;Flo Generic;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;0,25000;0,25000;;;;;;0,25000;;;0,25000;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,00862;[continuous, discrete, ordinal, nominal];0,00769;;;;;;;;;;;;;;;;;;;;47;;0,16667;0,16667;;;;0,16667;0,16667;;;;;;0,16667;;;0,16667;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;0,33333;;;;;;;;;;;;0,33333;;;0,33333;;;;;;;;;;;;
49;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;1.0:200;0,00629;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;49;1,00000;;;;;;;;;;;;;;;;;;;;Flo Experiment;;;;;;;;
50;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;200.0:2000;0,00629;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;50;;0,33333;;;;;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;>2000;0,00629;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;51;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;;;;;;
52;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;1.0:2000;0,00629;;Random Forest;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00775;no;0,00862;[continuous, nominal];0,00769;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;52;;;;;;;1,00000;;;;;;;;;;;;;;;;;;;;;;
