;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0145;69;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;5,04;0,87;6,71;5,41;1,71;22,79;16,71;20,57;2,16;9,12;3,12;2,24;7,69;4,24;3,66;16,27;2,70;;;;
39;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;1000.0:10000;0,01000;;Support Vector Machine;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;39;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;10000.0:70000;0,01000;;Support Vector Machine;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;40;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;
41;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<50;0,01000;;Multilayer Perceptron;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;41;1,00000;;;;;;;;;;;;;;;;;;;;;
42;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;50.0:2000;0,01000;;Multilayer Perceptron;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;42;;0,25000;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;
43;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<100;0,01000;;Support Vector Machine;;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;43;1,00000;;;;;;;;;;;;;;;;;;;;;
44;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;100.0:10000;0,01000;;Support Vector Machine;;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;44;;;;;;;;1,00000;;;;;;;;;;;;;;
45;;high;0,06667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;0,25000;0,25000;0,25000;;;;;;;;0,25000;;;;Flo Generic;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>10;0,00840;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;0,25000;0,25000;;;;;;0,25000;;;0,25000;;;;;
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,00870;[continuous, discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;47;;0,16667;0,16667;;;;0,16667;0,16667;;;;;;0,16667;;;0,16667;;;;;
48;;;;;;;;;;;;;;;;;;<86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;0,33333;;;;;;;;;;;;0,33333;;;0,33333;;;;;
49;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;<200;0,01000;;XGBoost;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;49;1,00000;;;;;;;;;;;;;;;;;;;;Flo Experiment;
50;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;200.0:2000;0,01000;;XGBoost;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;50;;0,33333;;;;;0,33333;0,33333;;;;;;;;;;;;;;
51;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;>2000;0,01000;;XGBoost;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;51;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
52;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;<2000;0,01000;;Random Forest;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;52;;;;;;;1,00000;;;;;;;;;;;;;;;
53;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;2000.0:5000;0,01000;;Random Forest;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;53;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
54;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;5000.0:10000;0,01000;;Random Forest;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;54;;;;;;;1,00000;;;;;;;;;;;;;;;
55;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;>10000;0,01000;;Random Forest;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;55;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
56;;;;;;;;;;;;<2;0,01449;36000;0,03125;1;0,01190;<72000;0,01000;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;yes;0,03030;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Text Data;0,01042;;;;;;;;;;;Offline;0,00926;Text;0,00943;Text;0,01136;56;;;;;;;;;1,00000;;;;;;;;;;;;Eggensperger2015;
57;;;;;;;;;;;;2.0:10;0,01449;36000;0,03125;1;0,01190;72000.0:360000;0,01000;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;yes;0,03030;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Text Data;0,01042;;;;;;;;;;;Offline;0,00926;Text;0,00943;Text;0,01136;57;;;;;;;0,50000;;0,50000;;;;;;;;;;;;;
58;;;;;;;;;;;;>10;0,01449;36000;0,03125;1;0,01190;>360000;0,01000;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;yes;0,03030;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Text Data;0,01042;;;;;;;;;;;Offline;0,00926;Text;0,00943;Text;0,01136;58;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
59;;;;;;;;;;;;<2;0,01449;60;0,03125;1;0,01190;<120;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;59;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
60;;;;;;;;;;;;2.0:50;0,01449;60;0,03125;1;0,01190;120.0:3000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;60;;;;;;;;;1,00000;;;;;;;;;;;;;
61;;;;;;;;;;;;>50;0,01449;60;0,03125;1;0,01190;>3000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;61;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
62;;;;;;;;;;;;<10;0,01449;60;0,03125;1;0,01190;<600;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;62;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
63;;;;;;;;;;;;10.0:100;0,01449;60;0,03125;1;0,01190;600.0:6000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;63;;;;;;;;;1,00000;;;;;;;;;;;;;
64;;;;;;;;;;;;>100;0,01449;60;0,03125;1;0,01190;>6000;0,01000;;Logistic Regression;0,00926;;;;;yes;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;64;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
65;;;;;;yes;0,01852;;;;;<2;0,01449;720;0,03125;2;0,01190;<2880;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;65;;;;;;;1,00000;;;;;;;;;;;;;;;
